S.No.,Name,CMP Rs.,P/E,Mar Cap Rs.Cr.,Div Yld %,NP Qtr Rs.Cr.,Qtr Profit Var %,Sales Qtr Rs.Cr.,Qtr Sales Var %,ROCE % ,Profit Var 5Yrs %,Sales Var 3Yrs %,Profit Var 3Yrs %
118,BLS E-Services,144.35,23.44,1311.51,0.69,15.23,-3.21,280.68,119.92,15.83,,75.12,110.84
119,Patanjali Foods,474.6,30.75,51641.43,0.7,593.76,68.21,10483.71,16.53,15.55,41.57,12.16,17.37
120,Updater Services,138.14,9.58,924.89,0,6.61,-56.02,767.1,10.39,15.32,23.53,22.65,28.29
121,Latent View,267.35,27.82,5532.14,0,50.77,19.67,278.01,22.02,15.22,19.8,27.63,14.63
122,Yatharth Hospit.,640.25,36.86,6169.09,0,43.08,48.74,320.47,46.23,13.99,151.91,31.89,43.05
123,Sambhv Steel,94.48,26.78,2784.06,0,24.13,112.79,589.14,59.64,13.92,,22.64,-7.03
124,Ethos,2237,61.55,5985.7,0,30.57,7.47,468.52,26.65,13.75,120.26,29.43,60.1
125,Zaggle Prepaid,207.81,21.99,2794.18,0,35.97,77.72,497.63,47.91,12.99,88.05,51.96,27.78
126,Le Travenues,173.54,128.94,7595.7,0,23.95,69.33,317.56,31.35,12.62,31.79,34.05,59.84
127,Mafatlal Inds.,120.9,9.07,872.52,1.65,4.05,-77.51,717.4,-21.19,10.3,45.74,40.93,178.43
