sno,name,cmprs,p/e,market_cap,div_yldpct,np_qtrrscr,qtr_profit_varpct,sales_qtrrscr,qtr_sales_varpct,rocepct,profit_var_5yrspct,sales_var_3yrspct,profit_var_3yrspct,sales_growth_3y,profit_growth_3y,roce,sales,symbol,debt,promoter_holding,price_1y,price_3y,dma20,dma200,volume_trend,growth_flag,consolidation_flag,volume_flag,sector,sector_strength,ai_reason,ai_score,fundamental_score,growth_score,consolidation_score,volume_score,final_score,rank
55,Dodla Dairy,1014.3,22.58,6119.05,0.49,68.74,17.08,1025.04,13.74,26.55,38.71,18.36,24.28,18.36,24.28,26.55,1025.04,DODLA.NS,0.0,50.0,-0.13687806545164616,1.2767995516887365,1049.664990234375,1270.1667041015626,0.8119658882770132,True,True,False,Unknown,neutral,undervalued_growth,1.0,0.20190895741556533,0.10685060847671005,0.7743484350119865,0.47996585655080604,0.404999977319046,23
79,Ratnamani Metals,2310.8,27.17,16196.86,0.61,135.38,-7.83,1065.83,-19.03,21.51,12.03,18.22,18.95,18.22,18.95,21.51,1065.83,RATNAMANI.NS,0.0,50.0,-0.1895227386318027,0.09808056755533001,2339.9900024414064,2428.4997033691407,1.4115083340650774,True,True,True,Unknown,neutral,undervalued_growth,1.0,0.10939794419970632,0.07815778430549729,0.8005688015070006,0.8343648623290638,0.40294098107528853,24
24,Tata Elxsi,4237.7,41.85,26399.47,1.77,108.89,-19.99,953.47,1.52,36.26,24.68,14.71,12.67,14.71,12.67,36.26,953.47,TATAELXSI.NS,0.0,50.0,-0.2297444403517137,-0.28107640300875303,4281.080041503907,5436.900504150391,1.1235363713287077,False,False,False,Unknown,neutral,no_growth,0.09999999999999998,0.3801395007342143,0.026804448174569888,0.8206017449453642,0.6641400884156257,0.3979510477592352,25
83,Welspun Corp,803.85,13.66,21204.81,0.62,456.36,-32.91,4532.48,25.43,21.24,13.17,29.04,39.84,29.04,39.84,21.24,4532.48,WELCORP.NS,0.0,50.0,-0.06554581622709432,3.3913325739245135,810.9550018310547,851.5632824707031,0.8396480167145071,True,True,False,Unknown,neutral,undervalued_growth,1.0,0.10444199706314239,0.24449223667645825,0.7388204773935423,0.49632919973859063,0.38807226161311614,26
96,Varun Beverages,401.45,46.28,135774.18,0.25,260.01,35.99,4204.42,13.98,19.71,50.22,18.08,23.97,18.08,23.97,19.71,4204.42,VBL.NS,0.0,50.0,-0.274262456503816,0.44214912471104073,419.7074996948242,468.0233889770508,1.0107590597608083,True,True,False,Unknown,neutral,undervalued_growth,1.0,0.0763582966226138,0.10375577003776751,0.8427745238539636,0.5974756389261947,0.3795969413200112,27
80,Gravita India,1405.2,27.15,10371.56,0.45,97.49,25.33,1017.07,2.07,21.5,48.7,20.41,29.79,20.41,29.79,21.5,1017.07,GRAVITA.NS,0.0,50.0,-0.2191919868722093,2.0857573317157194,1471.9199829101562,1691.4545013427735,0.7181960674714954,True,True,False,Unknown,neutral,undervalued_growth,1.0,0.10921439060205577,0.14650650440621069,0.8153459577794465,0.4245370349570331,0.3785099521736571,28
91,Marksans Pharma,170.05,21.39,7706.05,0.47,113.69,8.26,754.43,10.64,20.03,25.78,20.72,27.23,20.72,27.23,20.03,754.43,MARKSANS.NS,0.0,50.0,-0.2452701438749092,1.3177989823910914,168.74499893188477,192.73859489440918,0.8085975561167358,True,True,False,Unknown,neutral,undervalued_growth,1.0,0.08223201174743025,0.13470415442719263,0.8283345241968947,0.47797478222884676,0.3732980186466742,29
45,Polycab India,7171.0,41.11,107959.77,0.49,630.17,35.87,7636.13,46.12,29.72,20.93,22.45,29.35,22.45,29.35,29.72,7636.13,POLYCAB.NS,0.0,50.0,0.42350157868326144,1.5834046794929404,7659.25,7278.955402832031,1.3128767576505822,True,False,True,Electrical,improving,neutral,0.6,0.2600954478707782,0.15489928661351238,0.4952440402467187,0.7760621802333981,0.3716730625436973,30
43,Eicher Motors,6909.0,35.09,189523.68,1.01,1420.61,25.12,6114.04,22.94,29.81,20.98,22.37,41.32,22.37,41.32,29.81,6114.04,EICHERMOT.NS,0.0,50.0,0.3003932794325457,1.4443420951763501,7231.225,6701.972844238281,1.0499350527519902,True,False,False,Unknown,neutral,neutral,0.5,0.2617474302496328,0.2172681493915233,0.5565597352627221,0.6206331869263221,0.3715278677233344,31
109,Oberoi Realty,1445.8,23.31,52569.61,0.55,622.64,3.55,1492.64,5.78,17.73,25.94,25.19,27.95,25.19,27.95,17.73,1492.64,OBEROIRLTY.NS,0.0,50.0,-0.11395610677800261,0.7976789172065706,1469.8250122070312,1655.1843603515624,1.161231383550838,True,True,False,Unknown,neutral,undervalued_growth,1.0,0.04001468428781203,0.16192824171212758,0.762931854360992,0.6864222053002152,0.3696201134597702,32
